,Unnamed: 0,accommodates,availability_30,bathrooms,bed_type,bedrooms,beds,calculated_host_listings_count,cancellation_policy,guests_included,has_availability,host_is_superhost,host_listings_count,instant_bookable,latitude(North),longitude(East),maximum_nights,number_of_reviews,property_type,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,price,amenities__Dryer,amenities__Other_pet(s),amenities__Carbon_Monoxide_Detector,amenities__,amenities__Iron,amenities__Elevator_in_Building,amenities__Cable_TV,amenities__Heating,amenities__Shampoo,amenities__Wireless_Internet,amenities__Dog(s),amenities__Doorman,amenities__24-Hour_Check-in,amenities__TV,amenities__First_Aid_Kit,amenities__Pets_live_on_this_property,amenities__Essentials,amenities__Laptop_Friendly_Workspace,amenities__Hair_Dryer,amenities__Gym,amenities__Safety_Card,amenities__Pool,amenities__Internet,amenities__Kitchen,amenities__Pets_Allowed,amenities__Buzzer/Wireless_Intercom,amenities__Breakfast,amenities__Washer_/_Dryer,amenities__Suitable_for_Events,amenities__Free_Parking_on_Premises,amenities__Lock_on_Bedroom_Door,amenities__Washer,amenities__Hot_Tub,amenities__Cat(s),amenities__Air_Conditioning,amenities__Indoor_Fireplace,amenities__Smoke_Detector,amenities__Wheelchair_Accessible,amenities__Family/Kid_Friendly,amenities__Fire_Extinguisher,amenities__Hangers,amenities__Smoking_Allowed,Cluster_Lon_Lat
49,49,8,21,2,Real Bed,3,4,2,strict,1,t,f,301,f,22.73210581,114.0503709,1125,0,House,8,9,10,80,9,Entire home/apt,629,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,3
50,50,8,6,2,Real Bed,3,3,1,flexible,2,t,f,2,t,22.75620409,114.0514204,1125,3,House,8,10,10,100,8,Entire home/apt,225,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,3
51,51,8,15,3,Real Bed,3,4,2,strict,1,t,f,301,f,22.73561217,114.0588531,1125,1,House,10,10,10,80,10,Entire home/apt,469,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,3
52,52,8,30,4,Real Bed,4,4,1,flexible,1,t,f,1,f,22.67716895,114.0159925,1125,0,House,7,6,9,80,7,Entire home/apt,1500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
53,53,16,23,2,Real Bed,4,12,1,strict,16,t,f,1,f,22.66825363,114.022046,1125,7,House,10,9,9,97,10,Entire home/apt,565,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,3
54,54,7,22,3,Real Bed,3,4,1,flexible,1,t,f,1,f,22.66967864,114.0167261,14,0,House,10,10,10,100,10,Entire home/apt,250,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,3
55,55,7,30,2,Real Bed,4,3,1,flexible,1,t,f,1,f,22.71344248,114.0446966,1125,0,House,8,7,8,80,6,Entire home/apt,499,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,3
56,56,16,26,3,Real Bed,5,11,1,strict,4,t,f,1,f,22.66980807,114.0241556,30,4,House,10,10,10,100,10,Entire home/apt,599,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,3
57,57,4,11,1,Real Bed,2,2,1,moderate,0,t,f,1,f,22.75658034,114.0544827,1125,15,Apartment,10,10,10,100,10,Entire home/apt,149,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,3
58,58,2,26,1,Real Bed,1,1,2,strict,2,t,t,2,f,22.73211699,114.0513121,30,10,House,10,10,10,100,10,Private room,85,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,3
